order_id,customer_name,email,product,category,price,quantity,order_date,shipping_status,country
ORD1000,,test@gmail.com,Tablet,,1136.18,2,11/6/2024,Shipped,usa
ORD1001,Maria Lopez,example@outlook.com,Phone,ELECTRONICS,168.35,4,1/2/2023,Delivered,USA
ORD1002,Timmy Pual,test@gmail.com,Phone,,209.13,3,10/26/2023,Delivered,United States
ORD1003,Carlos Ruiz,user@yahoo.com,Keyboard,,1373.69,1,12/2/2023,Canceled,Mexico
ORD1004,Amy Tims,example@outlook.com,Monitor,ELECTRONICS,468.47,5,11/17/2023,Shipped,United States
ORD1005,Timmy Bob,example@outlook.com,Tablet,electronics,551.14,5,4/16/2024,Canceled,United States
ORD1006,John Doe,,Keyboard,ELECTRONICS,288.1,4,5/5/2023,Pending,United States
ORD1007,John Doe,,Laptop,ELECTRONICS,463.31,3,7/29/2025,Canceled,usa
ORD1008,Tim Gates,test@gmail.com,Monitor,Electronics,364.82,3,1/15/2025,Pending,usa
ORD1009,John Doe,,Tablet,,,4,9/2/2023,delivered,Mexico
ORD1010,,example@outlook.com,Laptop,Electronics,825.78,2,10/6/2024,Pending,Mexico
ORD1011,,,Phone,electronics,424.1,2,9/21/2023,Canceled,United States
ORD1012,Jenny Thomas,test@gmail.com,Keyboard,ELECTRONICS,696.68,1,1/14/2026,Delivered,usa
ORD1013,Amber Garcia,test@gmail.com,Tablet,Electronics,316.82,2,8/25/2023,Pending,usa
ORD1014,Joanna Anderson,test@gmail.com,Tablet,,828.61,1,2/25/2024,Shipped,USA
ORD1015,,,Phone,electronics,1247.67,5,8/13/2023,Delivered,Mexico
ORD1016,Joyce Thomas,example@outlook.com,Monitor,electronics,606.66,1,6/10/2023,Delivered,USA
ORD1017,Jennifer Cares,user@yahoo.com,Phone,Electronics,,3,2/17/2024,Pending,usa
ORD1018,Benny Anderson,test@gmail.com,Monitor,ELECTRONICS,1084.68,3,4/10/2024,delivered,USA
ORD1019,,example@outlook.com,Phone,Electronics,877,2,3/16/2024,Delivered,usa
ORD1020,Nick Valles,,Laptop,,579.17,1,8/25/2024,Canceled,USA
ORD1021,,,Monitor,Electronics,700.1,4,8/16/2023,Pending,usa
ORD1022,,example@outlook.com,Monitor,,1423.6,2,11/3/2023,Shipped,Mexico
ORD1023,Karen Valdonado,example@outlook.com,Keyboard,,1407.24,4,7/12/2025,delivered,Mexico
ORD1024,Yvonne Chavez,example@outlook.com,Monitor,,919.1,5,11/9/2025,Delivered,Mexico
ORD1025,Jessica Candy,example@outlook.com,Laptop,Electronics,688.05,4,5/8/2024,Shipped,USA
ORD1026,Yolanda Garcia,user@yahoo.com,Monitor,ELECTRONICS,1366.95,3,2/22/2024,Shipped,USA
ORD1027,Roxanne Montoya,,Phone,,933.69,1,3/25/2025,Delivered,usa
ORD1028,Rose Gracias,test@gmail.com,Tablet,,,3,11/20/2023,delivered,USA
ORD1029,Paul Smith,test@gmail.com,Tablet,,264.62,4,8/10/2025,Delivered,
ORD1030,Amy Thomson,test@gmail.com,Phone,ELECTRONICS,377.18,5,4/4/2024,Delivered,Mexico
ORD1031,Joanna Roxie,user@yahoo.com,Tablet,Electronics,1478.51,5,4/30/2025,Canceled,USA
ORD1032,Timmy Anderson,,Laptop,ELECTRONICS,992.84,4,11/7/2025,Pending,usa
ORD1033,Joanna Brooks,example@outlook.com,Tablet,ELECTRONICS,65.31,4,6/12/2025,Delivered,
ORD1034,Joy Path,test@gmail.com,Phone,Electronics,1407.15,3,5/17/2024,Canceled,Mexico
ORD1035,,example@outlook.com,Monitor,ELECTRONICS,233.78,3,1/30/2026,Delivered,United States
ORD1036,,example@outlook.com,Monitor,Electronics,997.6,4,1/3/2026,delivered,
ORD1037,Jane Smith,example@outlook.com,Monitor,Electronics,54.89,5,NULL,Shipped,United States
ORD1038,Maria Lopez,user@yahoo.com,Laptop,ELECTRONICS,669.29,4,8/15/2025,Pending,USA
ORD1039,John Doe,test@gmail.com,Phone,Electronics,354.2,2,11/28/2025,Canceled,Mexico
ORD1040,Elsa Gomez,example@outlook.com,Monitor,Electronics,425.6,1,9/1/2024,delivered,
ORD1041,Dot Anders,test@gmail.com,Laptop,Electronics,762.16,5,3/17/2024,delivered,United States
